"","Chromosome","ChromStart","ChromEnd","Band","Stain","genes"
"963","chr1",1058703,1060463,"p3","gpos25","focA"
"964","chr1",1060583,1061292,"p9","gpos75","ycaO"
"965","chr1",1061470,1062566,"p5","gpos25","ycaP"
"966","chr1",1062637,1063920,"p5","gpos75","serC"
"967","chr1",1064050,1064802,"p5","gpos50","aroA"
"968","chr1",1064803,1065680,"p3","gpos50","ycaL"
"969","chr1",1065699,1067467,"p3","gpos25","cmk"
"970","chr1",1067568,1067907,"p7","gpos75","rpsA"
"971","chr1",1068128,1070401,"p3","gpos50","himD"
"972","chr1",1070426,1072165,"p2","gpos100","ycaI"
"973","chr1",1072166,1073160,"p9","gpos50","msbA"
"974","chr1",1073192,1074436,"p6","gpos50","lpxK"
"975","chr1",1074480,1074650,"p10","gpos25","ycaQ"
"976","chr1",1074651,1075413,"p3","gpos25","ycaR"
"977","chr1",1075608,1076496,"p3","gpos25","kdsB"
"978","chr1",1076497,1077288,"p4","gpos75","STM0989"
"979","chr1",1077308,1078193,"p3","gpos50","ycbC"
"980","chr1",1078194,1079500,"p8","gpos50","smtA"
"981","chr1",1079501,1080200,"p9","gpos75","mukF"
"982","chr1",1080201,1084678,"p3","gpos100","mukE"
"983","chr1",1085010,1086864,"p8","gpos50","mukB"
"984","chr1",1087124,1087672,"p4","gpos50","ycbB"
"985","chr1",1087690,1088347,"p8","gpos75","ycbK"
"986","chr1",1088409,1089612,"p5","gpos100","ycbL"
"987","chr1",1089784,1090975,"p4","gpos25","aspC"
"988","chr1",1091482,1092891,"p4","gpos50","ompF"
"989","chr1",1093083,1093550,"p2","gpos75","asnS"
"990","chr1",1093850,1095075,"p1","gpos75","STM1001"
"991","chr1",1095314,1096756,"p2","gpos75","STM1002"
"992","chr1",1096834,1098221,"p8","gpos100","STM1003"
"993","chr1",1098231,1099531,"p3","gpos50","pncB"
"994","chr1",1099568,1099823,"p7","gpos75","STM1005"
"995","chr1",1099857,1100104,"p4","gpos100","STM1006"
"996","chr1",1100139,1101258,"p2","gpos75","STM1007"
"997","chr1",1101259,1104151,"p8","gpos75","STM1008"
"998","chr1",1104271,1104570,"p1","gpos100","STM1009"
"999","chr1",1104743,1105009,"p5","gpos50","STM1010"
"1000","chr1",1105053,1105468,"p7","gpos75","STM1011"
"1001","chr1",1105788,1106162,"p9","gpos25","STM1012"
"1002","chr1",1106241,1107220,"p2","gpos50","STM1013"
"1003","chr1",1107221,1107982,"p5","gpos100","STM1014"
"1004","chr1",1107987,1108330,"p9","gpos100","STM1015"
"1005","chr1",1108331,1108648,"p3","gpos100","STM1016"
"1006","chr1",1108726,1109016,"p9","gpos100","STM1017"
"1007","chr1",1109302,1109541,"p6","gpos75","STM1018"
"1008","chr1",1109951,1110559,"p1","gpos25","STM1019"
"1009","chr1",1110762,1111379,"p6","gpos100","STM1020"
"1010","chr1",1111498,1112309,"p3","gpos75","STM1021"
"1011","chr1",1112372,1112693,"p1","gpos100","STM1022"
"1012","chr1",1112860,1112992,"p2","gpos100","STM1023"
"1013","chr1",1113128,1113583,"p10","gpos75","STM1024"
"1014","chr1",1113938,1114456,"p1","gpos50","STM1025"
"1015","chr1",1114977,1115203,"p4","gpos75","STM1026"
"1016","chr1",1115204,1115665,"p7","gpos100","STM1027"
"1017","chr1",1115677,1116162,"p5","gpos75","STM1028"
"1018","chr1",1116362,1116853,"p9","gpos75","STM1029"
"1019","chr1",1116854,1118998,"p5","gpos50","STM1030"
"1020","chr1",1119426,1120661,"p1","gpos25","STM1031"
"1021","chr1",1120662,1122750,"p9","gpos25","STM1032"
"1022","chr1",1122834,1123151,"p4","gpos25","STM1033"
"1023","chr1",1123152,1123428,"p4","gpos50","STM1034"
"1024","chr1",1123429,1123991,"p7","gpos25","STM1035"
"1025","chr1",1123992,1124401,"p4","gpos25","STM1036"
"1026","chr1",1124406,1125162,"p7","gpos50","STM1037"
"1027","chr1",1125200,1125596,"p9","gpos50","STM1038"
"1028","chr1",1125597,1125932,"p1","gpos25","STM1039"
"1029","chr1",1126006,1128990,"p2","gpos75","STM1040"
"1030","chr1",1128991,1129328,"p6","gpos50","STM1041"
"1031","chr1",1129427,1129924,"p3","gpos75","STM1042"
"1032","chr1",1130041,1130580,"p7","gpos50","STM1043"
"1033","chr1",1130658,1131359,"p8","gpos75","sodC"
"1034","chr1",1131363,1131996,"p10","gpos25","STM1045"
"1035","chr1",1131997,1132708,"p8","gpos75","STM1046"
"1036","chr1",1132772,1135227,"p6","gpos50","STM1047"
"1037","chr1",1136453,1138889,"p10","gpos50","STM1048"
"1038","chr1",1138890,1139483,"p7","gpos50","STM1049"
"1039","chr1",1139954,1140927,"p2","gpos25","STM1050"
"1040","chr1",1141575,1142214,"p5","gpos50","sseI"
"1041","chr1",1142270,1142553,"p10","gpos25","STM1053"
"1042","chr1",1142554,1143243,"p7","gpos100","STM1054"
"1043","chr1",1143511,1143702,"p1","gpos100","STM1055"
"1044","chr1",1144119,1146741,"p9","gpos25","STM1056"
"1045","chr1",1146875,1147959,"p8","gpos50","pepN"
"1046","chr1",1148119,1148663,"p10","gpos50","pyrD"
"1047","chr1",1148664,1149786,"p8","gpos25","ycbW"
"1048","chr1",1149872,1151980,"p10","gpos100","STM1060"
"1049","chr1",1151981,1153900,"p1","gpos75","ycbY"
"1050","chr1",1153904,1155156,"p4","gpos75","uup"
"1051","chr1",1155157,1156797,"p10","gpos75","pqiA"
"1052","chr1",1156798,1157373,"p9","gpos100","pqiB"
"1053","chr1",1157615,1157796,"p9","gpos100","ymbA"
"1054","chr1",1157896,1158479,"p4","gpos100","rmf"
"1055","chr1",1158483,1160243,"p1","gpos50","fabA"
"1056","chr1",1160409,1160881,"p10","gpos75","lonH"
"1057","chr1",1160953,1162133,"p2","gpos25","ycbG"
"1058","chr1",1162362,1163017,"p2","gpos25","ompA"
"1059","chr1",1163078,1163679,"p8","gpos100","sulA"
"1060","chr1",1163680,1165833,"p7","gpos100","yccR"
"1061","chr1",1165852,1166318,"p5","gpos25","yccS"
"1062","chr1",1166406,1168476,"p8","gpos75","yccF"
"1063","chr1",1168512,1168983,"p4","gpos50","helD"
"1064","chr1",1169065,1169739,"p8","gpos75","mgsA"
"1065","chr1",1169888,1170314,"p4","gpos50","yccT"
"1066","chr1",1170359,1170685,"p6","gpos75","STM1078"
"1067","chr1",1170734,1171958,"p6","gpos100","yccV"
"1068","chr1",1172149,1172708,"p7","gpos100","yccW"
"1069","chr1",1172728,1173513,"p3","gpos50","STM1081"
"1070","chr1",1173549,1173839,"p8","gpos25","STM1082"
"1071","chr1",1173840,1174179,"p6","gpos100","yccX"
"1072","chr1",1174256,1174915,"p10","gpos75","yccK"
"1073","chr1",1175309,1175393,"p10","gpos50","yccA"
"1074","chr1",1175536,1176224,"p1","gpos75","serT"
"1075","chr1",1176438,1177320,"p3","gpos50","pipA"
"1076","chr1",1177531,1177851,"p1","gpos25","pipB"
"1077","chr1",1177861,1178208,"p6","gpos25","STM1089"
"1078","chr1",1178219,1179912,"p2","gpos50","pipC"
"1079","chr1",1180229,1180406,"p7","gpos100","sopB"
"1080","chr1",1180407,1180524,"p6","gpos75","orfX"
"1081","chr1",1180626,1182100,"p4","gpos25","STM1093"
"1082","chr1",1182268,1183624,"p7","gpos50","pipD"
"1083","chr1",1183625,1184377,"p9","gpos50","copS"
"1084","chr1",1184429,1184851,"p4","gpos75","copR"
"1085","chr1",1185184,1185708,"p3","gpos50","STM1097"
"1086","chr1",1185714,1187283,"p6","gpos50","hpaC"
"1087","chr1",1187494,1187938,"p8","gpos50","hpaB"
"1088","chr1",1188201,1189480,"p10","gpos25","hpaR"
"1089","chr1",1189481,1190957,"p4","gpos50","hpaG"
"1090","chr1",1190958,1191814,"p4","gpos75","hpaE"
"1091","chr1",1191818,1192204,"p6","gpos100","hpaD"
"1092","chr1",1192336,1193150,"p8","gpos100","hpaF"
"1093","chr1",1193154,1193952,"p4","gpos25","hpaH"
"1094","chr1",1194017,1195400,"p7","gpos100","hpaI"
"1095","chr1",1195402,1196306,"p6","gpos25","hpaX"
"1096","chr1",1196316,1197258,"p8","gpos25","hpaA"
"1097","chr1",1197666,1198040,"p4","gpos75","STM1109"
"1098","chr1",1198682,1198986,"p9","gpos75","STM1110"
"1099","chr1",1198987,1199999,"p2","gpos100","yccD"
"1100","chr1",1200137,1200504,"p7","gpos75","cbpA"
"1101","chr1",1200547,1202428,"p3","gpos25","scsA"
"1102","chr1",1202429,1203043,"p9","gpos25","scsB"
"1103","chr1",1203044,1203555,"p1","gpos75","scsC"
"1104","chr1",1203676,1204929,"p4","gpos100","scsD"
"1105","chr1",1204963,1205203,"p3","gpos50","agp"
"1106","chr1",1205211,1205821,"p9","gpos25","yccJ"
"1107","chr1",1206186,1206359,"p8","gpos50","wraB"
"1108","chr1",1206483,1207130,"p3","gpos50","ymdF"
"1109","chr1",1207131,1207533,"p5","gpos25","ycdC"
"1110","chr1",1207585,1211547,"p6","gpos100","STM1123"
"1111","chr1",1211904,1213477,"p5","gpos25","putA"
"1112","chr1",1214284,1215158,"p2","gpos75","putP"
"1113","chr1",1215264,1216153,"p3","gpos25","phoH"
"1114","chr1",1216430,1217938,"p1","gpos25","STM1127"
"1115","chr1",1218263,1218949,"p4","gpos25","STM1128"
"1116","chr1",1219449,1220609,"p5","gpos50","STM1129"
"1117","chr1",1220643,1221347,"p6","gpos25","STM1130"
"1118","chr1",1221618,1222910,"p1","gpos25","STM1131"
"1119","chr1",1222913,1224027,"p7","gpos75","STM1132"
"1120","chr1",1224732,1224816,"p8","gpos100","STM1133"
"1121","chr1",1225044,1225993,"p6","gpos50","serX"
"1122","chr1",1226065,1226814,"p3","gpos50","ycdW"
"1123","chr1",1226824,1227392,"p7","gpos50","ycdX"
"1124","chr1",1227445,1227975,"p7","gpos100","ycdY"
"1125","chr1",1228014,1228860,"p1","gpos25","ycdZ"
"1126","chr1",1228874,1229302,"p8","gpos75","csgG"
"1127","chr1",1229317,1229716,"p5","gpos75","csgF"
"1128","chr1",1229717,1230380,"p9","gpos100","csgE"
"1129","chr1",1231000,1231577,"p1","gpos75","csgD"
"1130","chr1",1231605,1232074,"p4","gpos25","csgB"
"1131","chr1",1232127,1232462,"p3","gpos25","csgA"
"1132","chr1",1232582,1232913,"p4","gpos50","csgC"
"1133","chr1",1232988,1233479,"p5","gpos50","ymdA"
"1134","chr1",1233480,1234964,"p7","gpos100","STM1147"
"1135","chr1",1234981,1236153,"p2","gpos25","ymdC"
"1136","chr1",1236311,1237934,"p9","gpos50","mdoC"
"1137","chr1",1237935,1240478,"p4","gpos25","mdoG"
"1138","chr1",1240542,1240779,"p10","gpos75","mdoH"
"1139","chr1",1240780,1241167,"p4","gpos50","yceK"
"1140","chr1",1241236,1242460,"p7","gpos75","msyB"
"1141","chr1",1242605,1243535,"p5","gpos50","yceE"
"1142","chr1",1243730,1244797,"p6","gpos100","htrB"
"1143","chr1",1244849,1245420,"p1","gpos100","yceA"
"1144","chr1",1245421,1246004,"p4","gpos50","yceI"
"1145","chr1",1246256,1246379,"p2","gpos100","STM1158"
"1146","chr1",1246410,1247537,"p9","gpos75","yceO"
"1147","chr1",1247641,1247907,"p2","gpos25","solA"
"1148","chr1",1248185,1248442,"p6","gpos75","yceP"
"1149","chr1",1248504,1249628,"p9","gpos75","dinI"
"1150","chr1",1249655,1250225,"p4","gpos100","pyrC"
"1151","chr1",1250340,1250997,"p5","gpos25","yceB"
"1152","chr1",1251051,1252267,"p6","gpos50","grxB"
"1153","chr1",1252476,1253080,"p6","gpos50","yceL"
"1154","chr1",1253097,1253751,"p8","gpos75","rimJ"
"1155","chr1",1253752,1254688,"p4","gpos50","yceH"
"1156","chr1",1254942,1256527,"p3","gpos50","mviM"
"1157","chr1",1256609,1257031,"p2","gpos100","mviN"
"1158","chr1",1257036,1257341,"p9","gpos50","flgN"
"1159","chr1",1257421,1258094,"p3","gpos75","flgM"
"1160","chr1",1258229,1258642,"p2","gpos25","flgA"
"1161","chr1",1258643,1259061,"p5","gpos50","flgB"
"1162","chr1",1259061,1259771,"p9","gpos50","flgC"
"1163","chr1",1259786,1261009,"p4","gpos100","flgD"
"1164","chr1",1261017,1261785,"p3","gpos50","flgE"
"1165","chr1",1261788,1262581,"p1","gpos100","flgF"
"1166","chr1",1262630,1263334,"p8","gpos100","flgG"
"1167","chr1",1263337,1264428,"p8","gpos25","flgH"
"1168","chr1",1264429,1265393,"p3","gpos100","flgI"
"1169","chr1",1265447,1267119,"p3","gpos50","flgJ"
"1170","chr1",1267119,1268087,"p6","gpos25","flgK"
"1171","chr1",1268344,1271547,"p2","gpos100","flgL"
"1172","chr1",1272121,1273080,"p5","gpos75","rne"
"1173","chr1",1273236,1273979,"p3","gpos100","rluC"
"1174","chr1",1274481,1275077,"p4","gpos25","STM1188"
"1175","chr1",1275222,1275784,"p9","gpos25","yceF"
"1176","chr1",1275822,1276009,"p9","gpos50","yceD"
"1177","chr1",1276126,1277222,"p4","gpos25","rpmF"
"1178","chr1",1277302,1278255,"p6","gpos75","plsX"
"1179","chr1",1278259,1279200,"p8","gpos100","fabH"
"1180","chr1",1279203,1279947,"p5","gpos75","fabD"
"1181","chr1",1280087,1280339,"p3","gpos25","fabG"
"1182","chr1",1280412,1281666,"p3","gpos25","acpP"
"1183","chr1",1281779,1282599,"p5","gpos25","fabF"
"1184","chr1",1282602,1283603,"p8","gpos25","pabC"
"1185","chr1",1283604,1284237,"p1","gpos100","yceG"
"1186","chr1",1284238,1285256,"p4","gpos50","tmk"
"1187","chr1",1285257,1286064,"p1","gpos75","holB"
"1188","chr1",1286342,1287792,"p10","gpos25","ycfH"
"1189","chr1",1287877,1290063,"p7","gpos75","ptsG"
"1190","chr1",1290381,1290741,"p8","gpos100","fhuE"
"1191","chr1",1290742,1291127,"p9","gpos75","ycfF"
"1192","chr1",1291128,1291752,"p5","gpos25","ycfL"
"1193","chr1",1291753,1292584,"p4","gpos25","ycfM"
"1194","chr1",1292585,1293622,"p9","gpos25","ycfN"
"1195","chr1",1293636,1294189,"p5","gpos100","nagZ"
"1196","chr1",1294327,1295748,"p3","gpos100","ycfP"
"1197","chr1",1295913,1296466,"p7","gpos100","ndh"
"1198","chr1",1296541,1297192,"p7","gpos100","ycfJ"
"1199","chr1",1297406,1297675,"p8","gpos75","ycfQ"
"1200","chr1",1297772,1298751,"p7","gpos75","ycfR"
"1201","chr1",1298885,1302349,"p8","gpos25","ycfS"
"1202","chr1",1302558,1303847,"p6","gpos25","mfd"
"1203","chr1",1303848,1304547,"p1","gpos75","ycfU"
"1204","chr1",1304548,1305806,"p7","gpos25","ycfV"
"1205","chr1",1305824,1306746,"p6","gpos75","ycfW"
"1206","chr1",1306756,1307586,"p6","gpos50","ycfX"
"1207","chr1",1307668,1308727,"p8","gpos50","cobB"
"1208","chr1",1308739,1309532,"p6","gpos100","potD"
"1209","chr1",1309834,1310844,"p4","gpos25","potC"
"1210","chr1",1311173,1312019,"p9","gpos25","sifA"
"1211","chr1",1312020,1313156,"p3","gpos100","potB"
"1212","chr1",1313395,1314636,"p4","gpos75","potA"
"1213","chr1",1314636,1315974,"p8","gpos75","pepT"
"1214","chr1",1316014,1317148,"p2","gpos50","STM1228"
"1215","chr1",1317216,1318679,"p8","gpos100","ycfD"
"1216","chr1",1318679,1319365,"p6","gpos50","phoQ"
"1217","chr1",1319477,1320850,"p4","gpos50","phoP"
"1218","chr1",1320851,1321550,"p6","gpos50","purB"
"1219","chr1",1321579,1322739,"p8","gpos50","ycfC"
"1220","chr1",1322739,1323210,"p2","gpos75","trmU"
"1221","chr1",1323212,1323537,"p3","gpos25","ymfB"
"1222","chr1",1323538,1324203,"p8","gpos25","STM1236"
"1223","chr1",1324219,1325625,"p7","gpos25","ymfC"
"1224","chr1",1326065,1327197,"p6","gpos75","icdA"
"1225","chr1",1328179,1328972,"p10","gpos50","STM1239"
"1226","chr1",1329456,1329702,"p9","gpos50","envF"
"1227","chr1",1329886,1330411,"p1","gpos100","msgA"
"1228","chr1",1330822,1331045,"p1","gpos25","envE"
"1229","chr1",1331166,1331437,"p2","gpos50","STM1243"
"1230","chr1",1332234,1332798,"p4","gpos50","pagD"
"1231","chr1",1333199,1333272,"p6","gpos50","pagC"
"1232","chr1",1334035,1334385,"p8","gpos50","STM1247"
"1233","chr1",1335077,1335354,"p6","gpos75","STM1249"
"1234","chr1",1335498,1335973,"p3","gpos50","STM1250"
"1235","chr1",1336306,1337355,"p8","gpos75","STM1251"
"1236","chr1",1337438,1337981,"p7","gpos50","STM1252"
"1237","chr1",1338117,1338436,"p1","gpos50","STM1253"
"1238","chr1",1339105,1340740,"p5","gpos100","STM1254"
"1239","chr1",1340741,1341703,"p8","gpos25","STM1255"
"1240","chr1",1341704,1342509,"p10","gpos25","STM1256"
"1241","chr1",1342510,1343300,"p6","gpos100","STM1257"
"1242","chr1",1343301,1343898,"p3","gpos25","STM1258"
"1243","chr1",1343980,1345119,"p1","gpos50","STM1259"
"1244","chr1",1345300,1345633,"p5","gpos100","STM1260"
"1245","chr1",1345637,1345710,"p7","gpos50","STM1261"
"1246","chr1",1345815,1346477,"p1","gpos25","STM1262"
"1247","chr1",1346579,1347374,"p9","gpos50","STM1263"
"1248","chr1",1347512,1348112,"p3","gpos25","aadA"
"1249","chr1",1348176,1349029,"p2","gpos75","STM1265"
"1250","chr1",1349284,1349542,"p7","gpos100","STM1266"
"1251","chr1",1349611,1349764,"p10","gpos100","STM1267"
"1252","chr1",1349836,1350388,"p4","gpos75","STM1268"
"1253","chr1",1350570,1351223,"p1","gpos100","STM1269"
"1254","chr1",1351385,1351744,"p6","gpos75","yeaS"
"1255","chr1",1351745,1351943,"p5","gpos100","yeaR"
"1256","chr1",1352168,1352814,"p1","gpos75","yoaG"
"1257","chr1",1353120,1353377,"p10","gpos100","STM1273"
"1258","chr1",1353799,1354061,"p7","gpos100","yeaQ"
"1259","chr1",1354125,1354426,"p4","gpos100","yaoF"
"1260","chr1",1354427,1354786,"p7","gpos100","STM1276"
"1261","chr1",1354893,1356094,"p4","gpos50","yeaO"
"1262","chr1",1356166,1356951,"p7","gpos75","yeaN"
"1263","chr1",1356952,1357398,"p1","gpos50","yeaM"
"1264","chr1",1357592,1357707,"p1","gpos25","yeaL"
"1265","chr1",1357708,1358240,"p3","gpos75","STM1281"
"1266","chr1",1358276,1359786,"p4","gpos75","yeaK"
"1267","chr1",1360410,1361707,"p6","gpos25","yeaJ"
"1268","chr1",1361819,1363767,"p5","gpos75","yeaH"
"1269","chr1",1364165,1364926,"p9","gpos25","yeaG"
"1270","chr1",1365216,1366412,"p8","gpos25","mipA"
"1271","chr1",1366503,1367366,"p3","gpos50","STM1287"
"1272","chr1",1367465,1368361,"p5","gpos75","STM1288"
"1273","chr1",1368684,1369691,"p7","gpos100","yeaD"
"1274","chr1",1369983,1370434,"p10","gpos50","gapA"
"1275","chr1",1370460,1370754,"p8","gpos75","yeaA"
"1276","chr1",1371106,1371774,"p6","gpos50","yeaC"
"1277","chr1",1371789,1372822,"p9","gpos75","pncA"
"1278","chr1",1372901,1374769,"p9","gpos100","ansA"
"1279","chr1",1374917,1375482,"p3","gpos25","sppA"
"1280","chr1",1375588,1376643,"p7","gpos75","ydjA"
"1281","chr1",1376648,1378597,"p1","gpos50","selD"
"1282","chr1",1378627,1379985,"p4","gpos25","topB"
"1283","chr1",1380198,1380443,"p1","gpos25","gdhA"
"1284","chr1",1380444,1380860,"p9","gpos75","STM1300"
"1285","chr1",1380933,1381751,"p6","gpos25","STM1301"
"1286","chr1",1382176,1383391,"p7","gpos25","xthA"
"1287","chr1",1383392,1384418,"p7","gpos100","astC"
"1288","chr1",1384419,1385899,"p3","gpos75","astA"
"1289","chr1",1385900,1387230,"p6","gpos75","astD"
"1290","chr1",1387231,1388212,"p9","gpos100","astB"
"1291","chr1",1388532,1389033,"p8","gpos75","astE"
"1292","chr1",1389108,1390016,"p9","gpos75","spy"
"1293","chr1",1390110,1390948,"p1","gpos50","STM1309"
"1294","chr1",1391028,1391497,"p9","gpos100","nadE"
"1295","chr1",1391785,1392118,"p4","gpos75","osmE"
"1296","chr1",1392187,1393559,"p5","gpos75","celA"
"1297","chr1",1393599,1393957,"p3","gpos100","celB"
"1298","chr1",1393958,1394810,"p4","gpos25","celC"
"1299","chr1",1394923,1396290,"p8","gpos50","celD"
"1300","chr1",1396293,1397061,"p7","gpos25","celF"
"1301","chr1",1397105,1399372,"p2","gpos100","celG"
"1302","chr1",1399662,1399964,"p8","gpos25","katE"
"1303","chr1",1400066,1401470,"p9","gpos75","cedA"
"1304","chr1",1401594,1402193,"p7","gpos100","ydjN"
"1305","chr1",1402331,1403013,"p3","gpos100","ydjM"
"1306","chr1",1403137,1403684,"p5","gpos100","yniC"
"1307","chr1",1403727,1404602,"p2","gpos75","yniB"
"1308","chr1",1404694,1404994,"p2","gpos25","STM1324"
"1309","chr1",1405081,1406025,"p10","gpos25","ydiZ"
"1310","chr1",1406287,1407060,"p2","gpos100","pfkB"
"1311","chr1",1407109,1408075,"p7","gpos100","ydiY"
"1312","chr1",1408204,1408514,"p8","gpos75","STM1328"
"1313","chr1",1408515,1409376,"p2","gpos50","STM1329"
"1314","chr1",1409545,1409755,"p4","gpos25","STM1330"
"1315","chr1",1410078,1411306,"p1","gpos100","STM1331"
"1316","chr1",1412182,1414121,"p10","gpos100","rfc"
"1317","chr1",1414213,1414667,"p9","gpos100","thrS"
"1318","chr1",1414748,1414960,"p10","gpos50","infC"
"1319","chr1",1414998,1415367,"p1","gpos50","rpmI"
"1320","chr1",1415659,1416652,"p1","gpos50","rplT"
"1321","chr1",1416656,1418920,"p9","gpos75","pheS"
"1322","chr1",1418921,1419359,"p6","gpos50","pheT"
"1323","chr1",1419553,1420542,"p6","gpos50","himA"
"1324","chr1",1420622,1421185,"p6","gpos25","btuC"
"1325","chr1",1421185,1421934,"p6","gpos50","btuE"
"1326","chr1",1421996,1422475,"p9","gpos100","btuD"
"1327","chr1",1422781,1423502,"p9","gpos75","nlpC"
"1328","chr1",1423553,1425006,"p8","gpos100","ydiV"
"1329","chr1",1425041,1425232,"p10","gpos50","ydiU"
"1330","chr1",1425389,1426471,"p3","gpos75","ydiE"
"1331","chr1",1426591,1427437,"p7","gpos50","aroH"
"1332","chr1",1427610,1430139,"p3","gpos75","ydiA"
"1333","chr1",1430181,1431833,"p5","gpos25","pps"
"1334","chr1",1431911,1432200,"p4","gpos50","ydiD"
"1335","chr1",1432201,1433501,"p4","gpos50","ydiT"
"1336","chr1",1433544,1434495,"p5","gpos50","ydiS"
"1337","chr1",1434501,1435276,"p3","gpos50","ydiR"
"1338","chr1",1435719,1436618,"p5","gpos100","ydiQ"
"1339","chr1",1436694,1437858,"p1","gpos25","ydiP"
"1340","chr1",1437859,1439412,"p10","gpos25","ydiO"
"1341","chr1",1439608,1440377,"p8","gpos25","ydiF"
"1342","chr1",1440411,1441289,"p6","gpos50","aroD"
"1343","chr1",1441344,1442595,"p8","gpos25","ydiB"
"1344","chr1",1442943,1444162,"p7","gpos50","ydiN"
"1345","chr1",1444295,1444654,"p4","gpos100","ydiM"
"1346","chr1",1444822,1444928,"p4","gpos75","ydiL"
"1347","chr1",1445112,1446246,"p3","gpos75","rprA"
"1348","chr1",1446477,1449533,"p9","gpos100","ydiK"
"1349","chr1",1449534,1449958,"p3","gpos100","ydiJ"
"1350","chr1",1450009,1450245,"p9","gpos75","STM1366"
"1351","chr1",1450533,1451885,"p10","gpos100","ydiH"
"1352","chr1",1452295,1452671,"p1","gpos25","STM1368"
"1353","chr1",1452672,1454170,"p5","gpos50","sufA"
"1354","chr1",1454176,1454894,"p10","gpos100","sufB"
"1355","chr1",1454895,1456162,"p3","gpos25","sufC"
"1356","chr1",1456163,1457396,"p8","gpos75","sufD"
"1357","chr1",1457401,1457825,"p7","gpos25","sufS"
"1358","chr1",1457967,1458981,"p5","gpos25","ynhA"
"1359","chr1",1459048,1459287,"p6","gpos100","ynhG"
"1360","chr1",1459370,1459619,"p1","gpos50","lppB"
"1361","chr1",1459917,1461452,"p1","gpos50","lpp"
"1362","chr1",1461731,1463080,"p1","gpos50","pykF"
"1363","chr1",1463096,1463992,"p7","gpos50","orf48"
"1364","chr1",1464048,1464792,"p5","gpos75","orf32"
"1365","chr1",1464797,1466030,"p2","gpos50","orf245"
"1366","chr1",1466346,1469400,"p9","gpos50","orf408"
"1367","chr1",1469401,1470423,"p2","gpos25","ttrA"
"1368","chr1",1470424,1471176,"p2","gpos75","ttrC"
"1369","chr1",1471334,1473087,"p5","gpos75","ttrB"
"1370","chr1",1473088,1473713,"p3","gpos50","ttrS"
"1371","chr1",1473792,1474023,"p6","gpos75","ttrR"
"1372","chr1",1474119,1475089,"p3","gpos50","orf70"
"1373","chr1",1475251,1475979,"p4","gpos75","orf319"
"1374","chr1",1476158,1476801,"p6","gpos25","orf242"
"1375","chr1",1476827,1479596,"p8","gpos100","ssrB"
"1376","chr1",1479990,1480386,"p10","gpos100","ssrA"
"1377","chr1",1480387,1481866,"p6","gpos50","ssaB"
"1378","chr1",1481867,1483078,"p5","gpos25","ssaC"
"1379","chr1",1483080,1483328,"p6","gpos50","ssaD"
"1380","chr1",1483585,1483918,"p8","gpos100","ssaE"
"1381","chr1",1483919,1484506,"p3","gpos50","sseA"
"1382","chr1",1484507,1484979,"p1","gpos25","sseB"
"1383","chr1",1484980,1486442,"p1","gpos100","sscA"
"1384","chr1",1486451,1487041,"p2","gpos75","sseC"
"1385","chr1",1487042,1487464,"p3","gpos50","sseD"
"1386","chr1",1487516,1487950,"p10","gpos25","sseE"
"1387","chr1",1487962,1488740,"p6","gpos100","sscB"
"1388","chr1",1488741,1489434,"p7","gpos75","sseF"
"1389","chr1",1489521,1489743,"p4","gpos50","sseG"
"1390","chr1",1489778,1490011,"p8","gpos100","ssaG"
"1391","chr1",1490023,1490261,"p1","gpos100","ssaH"
"1392","chr1",1490262,1491017,"p3","gpos75","ssaI"
"1393","chr1",1491035,1491573,"p5","gpos75","ssaJ"
"1394","chr1",1491574,1492215,"p5","gpos100","STM1410"
"1395","chr1",1492216,1493236,"p2","gpos100","ssaK"
"1396","chr1",1493288,1493639,"p7","gpos100","ssaL"
"1397","chr1",1493640,1495673,"p7","gpos100","ssaM"
"1398","chr1",1495674,1496983,"p10","gpos50","ssaV"
"1399","chr1",1496986,1497338,"p3","gpos25","ssaN"
"1400","chr1",1497339,1497691,"p8","gpos100","ssaO"
"1401","chr1",1497692,1498667,"p1","gpos100","ssaP"
"1402","chr1",1498732,1499374,"p7","gpos25","ssaQ"
"1403","chr1",1499375,1499640,"p4","gpos25","ssaR"
"1404","chr1",1499641,1500416,"p2","gpos75","ssaS"
"1405","chr1",1500417,1501480,"p7","gpos75","ssaT"
"1406","chr1",1501631,1501704,"p6","gpos75","ssaU"
"1407","chr1",1501718,1501791,"p9","gpos25","valW"
"1408","chr1",1501953,1503337,"p2","gpos100","valV"
"1409","chr1",1503529,1504184,"p1","gpos25","ydhE"
"1410","chr1",1504226,1505385,"p9","gpos50","ribE"
"1411","chr1",1505664,1506880,"p4","gpos25","cfa"
"1412","chr1",1506972,1507910,"p1","gpos25","ydhC"
"1413","chr1",1507911,1509032,"p8","gpos25","ydhB"
"1414","chr1",1509404,1509998,"p7","gpos75","purR"
"1415","chr1",1510112,1510966,"p6","gpos25","sodB"
"1416","chr1",1511254,1511615,"p9","gpos100","ydhO"
"1417","chr1",1511693,1512340,"p3","gpos75","ydhD"
"1418","chr1",1512441,1512861,"p7","gpos25","rnt"
"1419","chr1",1512917,1514025,"p9","gpos25","gloA"
"1420","chr1",1514073,1514672,"p2","gpos50","nemA"
"1421","chr1",1514764,1515014,"p2","gpos50","ydhM"
